SKU,ProductName,Category,COGS,ShippingCost,Supplier,Notes
SKU-001,Urban Hoodie Black,Apparel,18,5,Alpha Traders,
SKU-002,Urban Hoodie Grey,Apparel,19.5,5,Alpha Traders,
SKU-003,Performance Sneakers White,Shoes ,43,8,Urban Wholesale,
SKU-004,Performance Sneakers Black,Shoes,45,8,Global Supply Co,
SKU-005,Gym Bottle Steel,Accessories,5.5,3,Global Supply Co,
SKU-006,Yoga Mat Premium,,13,6,Global Supply Co,Missing category from supplier file
SKU-007,Wireless Earbuds Lite,Electronics,28,4.5,Alpha Traders,
SKU-008,Smart Watch Strap,Accessories,6,,FitGear Source,Shipping cost not updated
SKU-009,Running Shorts Navy,Apparel,11,4,Alpha Traders,
SKU-010,Compression Shirt,Apparel,14,4,FitGear Source,
 SKU-011 ,Travel Backpack,Bags,31,7,,SKU contains extra spaces
SKU-012,Laptop Sleeve 14 inch,,9,3.5,Alpha Traders,Missing category from supplier file
SKU-013,Phone Tripod Mini,Electronics,8,3,Alpha Traders,
SKU-014,Desk Lamp LED,Home,,5.5,Alpha Traders,Cost missing - needs vendor confirmation
SKU-015,Reusable Tote Bag,Accessories,3.5,2,Global Supply Co,
